,GDP,CPI,Interest,Net Income Margin,Diluted EPS,Current Ratio,Cash Conversion Cycle,Debt to Equity,Volume,Unemployment,MA30,MA7,RSI,ADX,ATR,OBV,Walmart,S&P500
2016-04-01,,,,,,,,,,,,,,,,,19.367788314819336,2072.780029296875
2016-04-02,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.93,11.05,0.5548313021013982,19807200.0,5.1,,,,,,19807200.0,19.367788314819336,2072.780029296875
2016-04-03,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.93,11.05,0.5548313021013982,19807200.0,5.1,,,,,,19807200.0,19.367788314819336,2072.780029296875
2016-04-04,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.93,11.05,0.5548313021013982,19807200.0,5.1,,,,,,19807200.0,19.37900733947754,2066.1298828125
2016-04-05,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.93,11.05,0.5548313021013982,20470200.0,5.1,,,,,,40277400.0,19.2499942779541,2045.1700439453125
2016-04-06,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.93,11.05,0.5548313021013982,17337000.0,5.1,,,,,,22940400.0,19.362173080444336,2066.659912109375
2016-04-07,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.93,11.05,0.5548313021013982,16088100.0,5.1,,,,,,39028500.0,19.132204055786133,2041.9100341796875
2016-04-08,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.93,11.05,0.5548313021013982,18331500.0,5.1,,19.318106242588588,,,,20697000.0,19.08733367919922,2047.5999755859373
2016-04-09,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.93,11.05,0.5548313021013982,19548000.0,5.1,,19.278041294642858,,,,1149000.0,19.08733367919922,2047.5999755859373
2016-04-10,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.93,11.05,0.5548313021013982,19548000.0,5.1,,19.237976346697128,,,,1149000.0,19.08733367919922,2047.5999755859373
2016-04-11,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.93,11.05,0.5548313021013982,19548000.0,5.1,,19.1979113987514,,,,1149000.0,18.902238845825195,2041.989990234375
2016-04-12,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.93,11.05,0.5548313021013982,23596200.0,5.1,,19.12980161394392,,,,-22447200.0,19.29486846923828,2061.719970703125
2016-04-13,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.93,11.05,0.5548313021013982,23203800.0,5.1,,19.1362122126988,,,,756600.0,19.39303398132324,2082.419921875
2016-04-14,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.93,11.05,0.5548313021013982,18788100.0,5.1,,19.14062091282436,,,,19544700.0,19.29486846923828,2082.780029296875
2016-04-15,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.93,11.05,0.5548313021013982,20931300.0,5.1,,19.163858686174667,,,,-1386600.0,19.367788314819336,2080.72998046875
2016-04-16,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.93,11.05,0.5548313021013982,22753500.0,5.1,,19.2039236341204,50.0,,0.0981589726039341,21366900.0,19.367788314819336,2080.72998046875
2016-04-17,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.93,11.05,0.5548313021013982,22753500.0,5.1,,19.243988582066127,50.0,,0.0911476174179388,21366900.0,19.367788314819336,2080.72998046875
