Feature,SHAP_Importance,Percentage
Walmart,0.08200575622863003,21.926092937836277
MA30,0.06709473733457604,17.939294923836396
S&P500,0.0648399309654321,17.336421463724154
MA7,0.06334649699141405,16.937118126778525
OBV,0.05166442783948566,13.81365282737571
ATR,0.011830494305967087,3.163150119974336
Interest,0.006891524344350078,1.8426048390591783
Diluted EPS,0.006171657864416602,1.6501322606971247
Current Ratio,0.005594917663537932,1.4959277288811346
Debt to Equity,0.003439665304218157,0.9196722840415432
ADX,0.0022239899750249085,0.5946340004384708
Unemployment,0.0020121972729247417,0.5380064332606624
CPI,0.0014302097397186993,0.38239890851372627
Volume,0.0013597756875497323,0.3635667722727094
RSI,0.001320458357089649,0.3530543950765042
GDP,0.001304201874361622,0.34870785688785194
Cash Conversion Cycle,0.0012645892051439285,0.3381165141976948
Net Income Margin,0.00021485973269627884,0.05744760714800339
